Issue Type,Epic Name,Epic Link,Summary,Description,Priority,Story Points,Sprint,Status
Epic,,,"[EPIC] Frontend (Streamlit)","Chat UI, authentication forms, PDF upload",Medium,,,Done
Task,,[EPIC] Frontend (Streamlit),"Build Streamlit chat interface","Chat display with st.chat_message, chat input with st.chat_input, session state for history",High,3,Sprint 4,Done
Task,,[EPIC] Frontend (Streamlit),"Implement login and register forms","Sidebar with radio toggle Login/Register, st.form for each, call FastAPI /auth endpoints via requests",High,3,Sprint 4,Done
Sub-task,,[EPIC] Frontend (Streamlit),"Manage JWT token in session state","Store token after login, attach as Bearer header to all API calls, clear on logout",Medium,1,Sprint 4,Done
Task,,[EPIC] Frontend (Streamlit),"Implement PDF upload in sidebar","st.file_uploader for PDF, send to /rag/upload-pdf via multipart, show indexed chunk count",Medium,2,Sprint 4,Done
Task,,[EPIC] Frontend (Streamlit),"Connect chat to RAG backend API","POST /rag/ask with query + chat_history + Bearer token, display answer + expandable sources",High,2,Sprint 4,Done
Task,,[EPIC] Frontend (Streamlit),"Add logout and clear conversation buttons","Sidebar buttons to reset token/username/history and trigger st.rerun()",Low,1,Sprint 4,Done
Epic,,,"[EPIC] Testing & Quality","Unit tests, integration tests, code quality",Medium,,,Done
Task,,[EPIC] Testing & Quality,"Write unit tests for authentication","Test register, login, duplicate user, invalid credentials, JWT token generation (6 tests)",High,3,Sprint 4,Done
Task,,[EPIC] Testing & Quality,"Write unit tests for RAG pipeline","Test PDF indexing, query processing, empty query handling, deduplication (6 tests)",High,3,Sprint 4,Done
Task,,[EPIC] Testing & Quality,"Write unit tests for API endpoints","Test /health, /rag/ask with auth, /rag/upload-pdf, unauthorized access (6 tests)",High,3,Sprint 4,Done
Task,,[EPIC] Testing & Quality,"Configure pytest with fixtures","pytest.ini, conftest.py with test database, test client, mock user fixtures",Medium,2,Sprint 4,Done
Epic,,,"[EPIC] Documentation & Delivery","README, architecture diagram, deployment guide",Low,,,Done
Task,,[EPIC] Documentation & Delivery,"Write comprehensive README.md","Project overview, architecture diagram, setup instructions, API reference, monitoring docs",Medium,3,Sprint 4,Done
Task,,[EPIC] Documentation & Delivery,"Create .env.example template","Document all required environment variables with placeholder values",Low,1,Sprint 4,Done
Task,,[EPIC] Documentation & Delivery,"Final Docker build and smoke test","docker compose up --build, verify all 4 containers healthy, test registration + query + Grafana",High,2,Sprint 4,Done
